"ID","Repair Execution","Status","Assignment Group","Order"
"1","Incident Registration","New","Customer Support Management Group","1"
"2","Incident Registration","Registered","Customer Support Management Group","2"
"3","Incident Registration","Advisory Group Review","Advisory Group","3"
"4","Repair at Factory - In-house","Awaiting Receipt","Store Management","1"
"5","Repair at Factory - In-house","IQC Review","Quality Management","2"
"6","Repair at Factory - In-house","Repair in Progress (In-house)","Manufacturing Engineering","3"
"7","Repair at Factory - In-house","Post Repair QC","Quality Management","4"
"8","Repair at Factory - In-house","Pre-dispatch Approval","Advisory Group","5"
"9","Repair at Factory - In-house","Dispatch to Customer","Store Management","6"
"10","Repair at Factory - In-house","Received by Customer","Customer Support Management Group","7"
"11","Repair at Factory - In-house","Closed","Customer Support Management Group","8"
"12","Repair at Factory - Vendor","Awaiting Receipt","Store Management","1"
"13","Repair at Factory - Vendor","IQC Review","Quality Management","2"
"14","Repair at Factory - Vendor","Vendor Identification","Supply Chain management","3"
"15","Repair at Factory - Vendor","Dispatch to Vendor","Store Management","4"
"16","Repair at Factory - Vendor","Repair in Progress (By Vendor)","Supply Chain management","5"
"17","Repair at Factory - Vendor","Post Repair QC","Quality Management","6"
"18","Repair at Factory - Vendor","Pre-dispatch Approval","Advisory Group","7"
"19","Repair at Factory - Vendor","Dispatch to Customer","Store Management","8"
"20","Repair at Factory - Vendor","Received by Customer","Customer Support Management Group","9"
"21","Repair at Factory - Vendor","Closed","Customer Support Management Group","10"
"22","Repair at Site - TASL","Resource Alignment","","1"
"23","Repair at Site - TASL","Repair in Progress","","2"
"24","Repair at Site - TASL","Post Repair Acceptance by Customer","","3"
"25","Repair at Site - TASL","Closed","Customer Support Management Group","4"
"26","Repair at Site - Vendor","Vendor Identification","Customer Support Management Group","1"
"27","Repair at Site - Vendor","Repair in Progress","","2"
"28","Repair at Site - Vendor","Post Repair Acceptance by Customer","Customer Support Management Group","3"
"29","Repair at Site - Vendor","Closed","","4"
